-	2: 404.title	[...slug]	The page you're looking for can't be found.	Die gewünschte Seite wurde nicht gefunden.	
+	2: 404.title	[...slug]	The page you're looking for can't be found.	Die gesuchte Seite kann nicht gefunden werden.	
-	1: intro	Acknowledgements	# 🙌 Acknowledgements\n\nBig thanks to everyone using Mac Mouse Fix and providing feedback. It's awesome and highly motivating to see so many people enjoy and engage with something I created.\n\nI want to especially thank the people and projects named in this document.	# 🙌 Danksagungen\n\nVielen Dank an alle, die Mac Mouse Fix benutzen und Feedback geben. Es ist großartig und eine riesige Motivation zu sehen, wie so viele Leute sich mit etwas befassen und sich darüber freuen, was ich gemacht habe.\n\nIch möchte mich besonders bei den Menschen und Projekten bedanken, die in diesem Dokument aufgeführt sind.	
+	1: intro	Acknowledgements	# 🙌 Acknowledgements\n\nBig thanks to everyone using Mac Mouse Fix and providing feedback. It's awesome and highly motivating to see so many people enjoy and engage with something I created.\n\nI want to especially thank the people and projects named in this document.	# 🙌 Danksagungen\n\nVielen Dank an alle, die Mac Mouse Fix nutzen und Feedback geben. Es ist großartig und sehr motivierend zu sehen, dass so viele Menschen etwas genießen und sich mit etwas beschäftigen, das ich erschaffen habe.\n\nIch möchte besonders den Personen und Projekten danken, die in diesem Dokument genannt werden.	
-	2: translations	Acknowledgements	## 🌏 Translations\n\nThanks for bringing Mac Mouse Fix to people around the globe!\n\n- 🇨🇳 Chinese translations by \n    - [@groverlynn]({url_1})\n    - [@Dro9an]({url_2}) (Website translation)\n    - [@jihao]({url_3}) (Website translation)\n    - [@xianyu-wang]({url_4})\n- 🇰🇷 Korean translations by [@jeongtae]({url_5})\n- 🇻🇳 Vietnamese translations by [@nghlt]({url_6})\n- 🇧🇷 Brazilian Portuguese translations by \n    - **Eduardo Rodrigues**\n    - [@denini08]({url_7})\n- 🇫🇷 French translations by [@DimitriDR]({url_8})\n- 🇹🇷 Turkish translations by \n    - [@hasanbeder]({url_9})\n    - [@erentomurcuk]({url_10})\n- 🇨🇿 Czech translations by [Petr Pavlík]({url_11})\n- 🇷🇺 Russian translations by [ETMH]({url_12})\n- 🇪🇸 Spanish translations by [@manghidev]({url_13})\n- 🇵🇱 Polish translations by **Jakub** (Website translation)	## 🌏 Übersetzungen\n\nDanke, dass ihr Mac Mouse Fix zu Menschen auf der ganzen Welt gebracht habt.\n\n- 🇨🇳 Chinesische Übersetzungen von     \n    - [@groverlynn]({url_1})\n    - [@Dro9an]({url_2}) (Website Übersetzung)\n    - [@jihao]({url_3}) (Website Übersetzung)\n    - [@xianyu-wang]({url_4})\n- 🇰🇷 Koreanische Übersetzungen von [@jeongtae]({url_5})\n- 🇻🇳 Vietnamesische Übersetzungen von [@nghlt]({url_6})\n- 🇧🇷 Brazilian Portuguese translations by \n    - **Eduardo Rodrigues**\n    - [@denini08]({url_7})\n- 🇫🇷 Französische Übersetzungen von [@DimitriDR]({url_8})\n- 🇹🇷 Türkische Übersetzungen von \n    - [@hasanbeder]({url_9})\n    - [@erentomurcuk]({url_10})\n- 🇨🇿 Tschechische Übersetzungen von [Petr Pavlík]({url_11})\n- 🇷🇺 Russische Übersetzungen von [ETMH]({url_12})\n- 🇪🇸 Spanische Übersetzungen von [@manghidev]({url_13})\n- 🇵🇱 Polische Übersetzungen von **Jakub** (Website Übersetzung)	Note: {url} will be replaced by a link. \n\nMake sure to type ‘{url}’ exactly like in the original for the text-replacement to work.\n\nFurther details: \n\nYou may have encountered 'format specifiers' like '%1$@' before. '%1$@' is a format specifier in the C programming language, while '{url}' is a format specifier in the Python programming language. The idea is the same – when the program runs, this special character sequence gets replaced with dynamic content. You as the translator can decide where this dynamic content ends up in your translated text by including the format specifier in a specific place.\n\nAlso see: license-toast.activation-overload
+	2: translations	Acknowledgements	## 🌏 Translations\n\nThanks for bringing Mac Mouse Fix to people around the globe!\n\n- 🇨🇳 Chinese translations by \n    - [@groverlynn]({url_1})\n    - [@Dro9an]({url_2}) (Website translation)\n    - [@jihao]({url_3}) (Website translation)\n    - [@xianyu-wang]({url_4})\n- 🇰🇷 Korean translations by [@jeongtae]({url_5})\n- 🇻🇳 Vietnamese translations by [@nghlt]({url_6})\n- 🇧🇷 Brazilian Portuguese translations by \n    - **Eduardo Rodrigues**\n    - [@denini08]({url_7})\n- 🇫🇷 French translations by [@DimitriDR]({url_8})\n- 🇹🇷 Turkish translations by \n    - [@hasanbeder]({url_9})\n    - [@erentomurcuk]({url_10})\n- 🇨🇿 Czech translations by [Petr Pavlík]({url_11})\n- 🇷🇺 Russian translations by [ETMH]({url_12})\n- 🇪🇸 Spanish translations by [@manghidev]({url_13})\n- 🇵🇱 Polish translations by **Jakub** (Website translation)	## 🌏 Übersetzungen\n\nDanke, dass ihr Mac Mouse Fix zu Menschen auf der ganzen Welt bringt!\n\n- 🇨🇳 Chinesische Übersetzungen von \n    - [@groverlynn]({url_1})\n    - [@Dro9an]({url_2}) (Website-Übersetzung)\n    - [@jihao]({url_3}) (Website-Übersetzung)\n    - [@xianyu-wang]({url_4})\n- 🇰🇷 Koreanische Übersetzungen von [@jeongtae]({url_5})\n- 🇻🇳 Vietnamesische Übersetzungen von [@nghlt]({url_6})\n- 🇧🇷 Brasilianisch-portugiesische Übersetzungen von \n    - **Eduardo Rodrigues**\n    - [@denini08]({url_7})\n- 🇫🇷 Französische Übersetzungen von [@DimitriDR]({url_8})\n- 🇹🇷 Türkische Übersetzungen von \n    - [@hasanbeder]({url_9})\n    - [@erentomurcuk]({url_10})\n- 🇨🇿 Tschechische Übersetzungen von [Petr Pavlík]({url_11})\n- 🇷🇺 Russische Übersetzungen von [ETMH]({url_12})\n- 🇪🇸 Spanische Übersetzungen von [@manghidev]({url_13})\n- 🇵🇱 Polnische Übersetzungen von **Jakub** (Website-Übersetzung)	Note: {url} will be replaced by a link. \n\nMake sure to type ‘{url}’ exactly like in the original for the text-replacement to work.\n\nFurther details: \n\nYou may have encountered 'format specifiers' like '%1$@' before. '%1$@' is a format specifier in the C programming language, while '{url}' is a format specifier in the Python programming language. The idea is the same – when the program runs, this special character sequence gets replaced with dynamic content. You as the translator can decide where this dynamic content ends up in your translated text by including the format specifier in a specific place.\n\nAlso see: license-toast.activation-overload
-	3: money	Acknowledgements	## 💰 Money\n\nThanks so much to everyone who treated me to a milkshake and to all **{sales_count}** people who bought Mac Mouse Fix.\nThanks to you, I can spend lots of time doing something I love. \n\nPeople who supported me by spending more than the standard price on Mac Mouse Fix receive a special mention here:	## 💰 Geld\n\nVielen Dank an alle, die mir einen Milchshake spendiert haben, und an alle **{sales_count}** Personen, die Mac Mouse Fix gekauft haben.\nDank euch kann ich viel Zeit mit etwas verbringen, das ich sehr gerne mache.\n\nMenschen, die mich durch den Kauf von Mac Mouse Fix zu einem höheren Preis als dem Standardpreis unterstützt haben, erhalten hier eine besondere Erwähnung:	Note: {sales_count} will be replaced by the number of times Mac Mouse Fix has been sold. \n\nMake sure to type '{sales_count}' exactly like in the original for the text-replacement to work.\n\n
+	3: money	Acknowledgements	## 💰 Money\n\nThanks so much to everyone who treated me to a milkshake and to all **{sales_count}** people who bought Mac Mouse Fix.\nThanks to you, I can spend lots of time doing something I love. \n\nPeople who supported me by spending more than the standard price on Mac Mouse Fix receive a special mention here:	## 💰 Geld\n\nVielen Dank an alle, die mir einen Milchshake spendiert haben, und an alle **{sales_count}** Personen, die Mac Mouse Fix gekauft haben.\nDank euch kann ich viel Zeit mit etwas verbringen, das ich liebe.\n\nPersonen, die mich unterstützt haben, indem sie mehr als den Standardpreis für Mac Mouse Fix bezahlt haben, erhalten hier eine besondere Erwähnung:	Note: {sales_count} will be replaced by the number of times Mac Mouse Fix has been sold. \n\nMake sure to type '{sales_count}' exactly like in the original for the text-replacement to work.\n\n
-	4: money.generous	Acknowledgements	### ⭐️ Generous Contributors\n\nThanks for your support! :)	### ⭐️ Großzügige Unterstützer\n\nDanke für euren Beitrag! :)	
+	4: money.generous	Acknowledgements	### ⭐️ Generous Contributors\n\nThanks for your support! :)	### ⭐️ Großzügige Unterstützer\n\nDanke für eure Unterstützung! :)	
-	5: money.very-generous	Acknowledgements	### 🚀 Very Generous Contributors\n\nThese people spent a lot more than the standard price and treated me to an **Incredible Milkshake**. (And some even left a message) Thanks for the *sugar rush*!	### 🚀 Sehr Großzügige Unterstützer\n\nDiese Leute haben viel mehr als den Standardpreis ausgegeben und mir einen **unglaublichen Milchshake** spendiert. (Und manche haben sogar eine Nachricht hinterlassen) Danke für den *Zucker-Kick*!	
